time[s],SAS[V],FWM[V]
-1.222005207679,-0.0010054,0.00813769
-1.221354166012,-0.00104309,0.00826332
-1.220703124345,-0.00103053,0.00826332
-1.220052082678,-0.00101796,0.00838894
-1.2194010410109999,-0.00104309,0.00838894
-1.2187499993439999,-0.00101796,0.00851457
-1.2180989576769998,-0.000992839,0.00851457
-1.21744791601,-0.00101796,0.00851457
-1.216796874343,-0.000992839,0.0086402
-1.216145832676,-0.0010054,0.0086402
-1.215494791009,-0.000980276,0.00876583
-1.214843749342,-0.00103053,0.00889146
-1.2141927076749999,-0.000967714,0.00889146
-1.2135416660079998,-0.000992839,0.00901709
-1.212890624341,-0.00101796,0.00901709
-1.212239582674,-0.000967714,0.00914271
-1.211588541007,-0.00101796,0.00914271
-1.21093749934,-0.000980276,0.00926834
-1.210286457673,-0.00101796,0.00939397
-1.2096354160059999,-0.000955151,0.00939397
-1.2089843743389999,-0.0010054,0.0095196
-1.2083333326719998,-0.00104309,0.0095196
-1.207682291005,-0.000992839,0.00964523
-1.207031249338,-0.0010054,0.00964523
-1.206380207671,-0.00101796,0.00977085
-1.205729166004,-0.000980276,0.00977085
-1.205078124337,-0.000955151,0.00989648
-1.2044270826699999,-0.000967714,0.00989648
-1.2037760410029998,-0.000980276,0.0100221
-1.203124999336,-0.000967714,0.0100221
-1.202473957669,-0.0010054,0.0101477
-1.201822916002,-0.0010054,0.0101477
-1.201171874335,-0.000967714,0.0102734
-1.200520832668,-0.000992839,0.0102734
-1.1998697910009999,-0.0010054,0.010399
-1.1992187493339999,-0.000992839,0.0105246
-1.1985677076669998,-0.000980276,0.0105246
-1.197916666,-0.0010054,0.0106503
-1.197265624333,-0.000942588,0.0106503
-1.196614582666,-0.000980276,0.0107759
-1.195963540999,-0.000980276,0.0107759
-1.195312499332,-0.00101796,0.0107759
-1.1946614576649999,-0.0010054,0.0109015
-1.1940104159979998,-0.0010054,0.0110271
-1.193359374331,-0.000992839,0.0110271
-1.192708332664,-0.0010054,0.0111528
-1.192057290997,-0.000992839,0.0111528
-1.19140624933,-0.000992839,0.0112784
-1.190755207663,-0.000942588,0.0112784
-1.1901041659959999,-0.000980276,0.011404
-1.1894531243289999,-0.00101796,0.011404
-1.1888020826619998,-0.000992839,0.0115296
-1.188151040995,-0.000992839,0.0116553
-1.187499999328,-0.0010054,0.0116553
-1.186848957661,-0.00101796,0.0119065
-1.186197915994,-0.000967714,0.0119065
-1.185546874327,-0.0010054,0.0119065
-1.1848958326599999,-0.000942588,0.0120322
-1.1842447909929998,-0.00101796,0.0120322
-1.183593749326,-0.00101796,0.0121578
-1.182942707659,-0.00103053,0.0121578
-1.182291665992,-0.000955151,0.0122834
-1.181640624325,-0.000992839,0.0122834
-1.180989582658,-0.000967714,0.012409
-1.1803385409909999,-0.0010054,0.012409
-1.1796874993239999,-0.000992839,0.0125347
-1.1790364576569998,-0.0010054,0.0126603
-1.17838541599,-0.000967714,0.0126603
-1.177734374323,-0.000967714,0.0127859
-1.177083332656,-0.000992839,0.0129116
-1.176432290989,-0.000967714,0.0130372
-1.175781249322,-0.00104309,0.0129116
-1.1751302076549999,-0.000980276,0.0130372
-1.1744791659879998,-0.000980276,0.0131628
-1.173828124321,-0.000980276,0.0132884
-1.173177082654,-0.0010054,0.0132884
-1.172526040987,-0.000942588,0.0134141
-1.17187499932,-0.00103053,0.0134141
-1.171223957653,-0.00103053,0.0134141
-1.1705729159859999,-0.0010054,0.0135397
-1.1699218743189999,-0.000955151,0.0136653
-1.1692708326519998,-0.0010054,0.013791
-1.168619790985,-0.00103053,0.0139166
-1.167968749318,-0.000992839,0.013791
-1.167317707651,-0.000967714,0.0140422
-1.166666665984,-0.000992839,0.0140422
-1.166015624317,-0.000992839,0.0141678
-1.1653645826499999,-0.0010054,0.0141678
-1.1647135409829998,-0.000992839,0.0142935
-1.164062499316,-0.000980276,0.0142935
-1.163411457649,-0.000980276,0.0144191
-1.162760415982,-0.00101796,0.0145447
-1.162109374315,-0.00101796,0.0145447
-1.161458332648,-0.000967714,0.0146704
-1.1608072909809999,-0.00101796,0.014796
-1.1601562493139999,-0.00103053,0.014796
-1.1595052076469998,-0.000967714,0.0149216
-1.15885416598,-0.000992839,0.0150472
-1.158203124313,-0.000992839,0.0150472
-1.157552082646,-0.000942588,0.0150472
-1.156901040979,-0.0010054,0.0152985
-1.156249999312,-0.00103053,0.0152985
-1.1555989576449999,-0.000980276,0.0154241
-1.1549479159779998,-0.000967714,0.0155497
-1.154296874311,-0.0010054,0.0155497
-1.153645832644,-0.00103053,0.0155497
-1.152994790977,-0.00101796,0.0156754
-1.15234374931,-0.000992839,0.015801
-1.151692707643,-0.000980276,0.015801
-1.1510416659759999,-0.000967714,0.0159266
-1.1503906243089999,-0.00101796,0.0160523
-1.1497395826419998,-0.0010054,0.0160523
-1.149088540975,-0.000980276,0.0161779
-1.148437499308,-0.00101796,0.0161779
-1.147786457641,-0.00104309,0.0163035
-1.147135415974,-0.000980276,0.0164291
-1.146484374307,-0.0010054,0.0165548
-1.1458333326399999,-0.0010054,0.0165548
-1.1451822909729998,-0.0010054,0.0166804
-1.144531249306,-0.000967714,0.016806
-1.143880207639,-0.000980276,0.016806
-1.143229165972,-0.000980276,0.0169317
-1.142578124305,-0.0010054,0.0170573
-1.141927082638,-0.0010054,0.0170573
-1.1412760409709999,-0.000980276,0.0171829
-1.1406249993039999,-0.000992839,0.0173085
-1.1399739576369998,-0.00101796,0.0173085
-1.13932291597,-0.0010054,0.0174342
-1.138671874303,-0.000967714,0.0175598
-1.138020832636,-0.000967714,0.0176854
-1.137369790969,-0.000955151,0.0176854
-1.136718749302,-0.000955151,0.0178111
-1.1360677076349999,-0.000980276,0.0178111
-1.1354166659679998,-0.000980276,0.0178111
-1.134765624301,-0.000955151,0.0180623
-1.134114582634,-0.000992839,0.0180623
-1.133463540967,-0.000980276,0.0181879
-1.1328124993,-0.000980276,0.0183136
-1.132161457633,-0.000942588,0.0183136
-1.1315104159659999,-0.000955151,0.0184392
-1.1308593742989999,-0.000967714,0.0185648
-1.1302083326319998,-0.000955151,0.0186905
-1.129557290965,-0.000942588,0.0188161
-1.128906249298,-0.000967714,0.0188161
-1.128255207631,-0.000942588,0.0188161
-1.127604165964,-0.000930025,0.0189417
-1.126953124297,-0.000992839,0.019193
